@relation GesturePrediction

@attribute labels {click, twoFingerClick, panLeft, panRight, panUp, panDown, closedUp, up, stoped, closedStoped}
@attribute zeroFingerFramesRatio  numeric
@attribute oneFingerFramesRatio  numeric
@attribute twoFingerFramesRatio  numeric
@attribute threeFingerFramesRatio  numeric
@attribute fourFingerFramesRatio  numeric
@attribute fiveFingerFramesRatio  numeric
@attribute pitchAngleAverage  numeric
@attribute yawAngleAverage numeric
@attribute rollAngleAverage numeric
@attribute xAveragePalmVelocity numeric
@attribute yAveragePalmVelocity numeric
@attribute zAveragePalmVelocity numeric
@attribute rightMovementFramesRation numeric
@attribute leftMovementFramesRation numeric
@attribute upMovementFramesRation numeric
@attribute downMovementFramesRation numeric

@data
closedUp,1.0,0.0,0.0,0.0,0.0,0.0,0.2215279107423205,0.06527063970631723,2.8539093944587206,-2.6824470175136077,19.944837751945382,-8.481353075709194,0.6381578947368421,0.3618421052631579,0.3190789473684211,0.680921052631579
up,0.0,0.0,0.0,0.03007518796992481,0.7969924812030075,0.17293233082706766,0.24037151710879534,0.09450565211306837,2.7782175164473686,4.421042692168315,6.8015195950865746,-9.384893854883941,0.5864661654135338,0.41353383458646614,0.3684210526315789,0.631578947368421
up,0.0,0.0,0.0,0.0,1.0,0.0,0.3398898572757326,0.0872708117782042,2.897952069496286,0.4169473679864715,0.06131998321105694,1.0181245954129203,0.49137931034482757,0.5086206896551724,0.5862068965517241,0.41379310344827586
up,0.0,0.0,0.0,0.0,0.91,0.09,0.24989989444613456,0.11349886819720269,2.7203551292419434,-4.0683702297508715,2.587684586942196,-2.9699013316631317,0.65,0.35,0.35,0.65
closedUp,1.0,0.0,0.0,0.0,0.0,0.0,0.13187312503758164,0.10170464448093139,2.485284065462879,2.2441829827988578,6.4901115195345636,0.2384063298862005,0.44329896907216493,0.5567010309278351,0.5979381443298969,0.4020618556701031
up,0.0,0.0,0.0,0.0,0.08403361344537816,0.9159663865546218,0.37609446199000385,0.017354527674529784,0.6581033037490204,-14.296435640514398,10.947968218506885,4.193467012723954,0.7310924369747899,0.2689075630252101,0.5378151260504201,0.46218487394957986
closedUp,1.0,0.0,0.0,0.0,0.0,0.0,0.2759663089863931,0.18241883386479746,2.563631010527658,-0.610426029313368,0.6699152563962926,3.9446355448175137,0.5511551155115512,0.44884488448844884,0.6732673267326733,0.32673267326732675
closedUp,0.9895833333333334,0.0,0.0,0.0,0.010416666666666666,0.0,0.210843352911373,0.16001103880504766,2.48323871443669,9.244975444967471,-14.793711887827763,-22.927294000595186,0.5416666666666666,0.4479166666666667,0.3645833333333333,0.625
closedUp,0.0,0.0,0.0,0.0,0.0,1.0,0.6468530271682271,-0.26119668699481,-2.8047883539843412,8.107021531307259,-11.332363169434611,-7.517463470894866,0.18404907975460122,0.8159509202453987,0.3558282208588957,0.6441717791411042
closedUp,0.9193548387096774,0.0,0.0,0.0,0.06451612903225806,0.016129032258064516,0.14205736132158386,0.18083399510191334,2.4094705826813176,14.937052655424322,3.272543188394798,-9.939556531127423,0.3951612903225806,0.7580645161290323,0.41935483870967744,0.7338709677419355
closedUp,1.0,0.0,0.0,0.0,0.0,0.0,0.4358751763513078,0.14203633000324298,2.842492384311957,2.394106633332256,0.9878712015395815,6.278566218106262,0.5714285714285714,0.42857142857142855,0.6753246753246753,0.3246753246753247
